"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","PROLIFIC_PID","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","id","session","researcher","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt","preResp.rt"
"353","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"Experiment","Tisch","Markt","learn","invalid","l","top","top","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[1.0419999999999163]",NA,NA,NA,NA,NA,"",0,73,73,137,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"354","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"4","",NA,"",NA,NA,NA,NA,NA,"Experiment","Stein","Kreis","learn","valid","l","top","top","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[1.5889999999999418]",NA,NA,NA,NA,NA,"",0,74,74,8,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"355","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"Experiment","Kreis","Stein","learn","invalid","a","top","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5619999999998981]",NA,NA,NA,NA,NA,"",0,75,75,66,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"356","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"3","",NA,"",NA,NA,NA,NA,NA,"Experiment","Stein","Stein","test","invalid","a","top","nil","salient",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.3910000000000764]",NA,NA,NA,NA,NA,"",0,76,76,184,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"357","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"Experiment","Tisch","Tisch","test","valid","a","bottom","nil","salient",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5660000000002583]",NA,NA,NA,NA,NA,"",0,77,77,149,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"358","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"Experiment","Tisch","Tisch","test","valid","a","bottom","nil","salient",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.7960000000002765]",NA,NA,NA,NA,NA,"",0,78,78,173,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"359","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"3","",NA,"",NA,NA,NA,NA,NA,"Experiment","Markt","Tisch","learn","valid","a","top","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5509999999999309]",NA,NA,NA,NA,NA,"",0,79,79,107,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"360","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"Experiment","Markt","Tisch","learn","valid","a","top","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6929999999997563]",NA,NA,NA,NA,NA,"",0,80,80,51,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"361","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"4","",NA,"",NA,NA,NA,NA,NA,"Experiment","Tisch","Tisch","test","invalid","l","top","nil","salient",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.43899999999985084]",NA,NA,NA,NA,NA,"",0,81,81,217,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"362","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"2","",NA,"",NA,NA,NA,NA,NA,"Experiment","Kreis","Stein","learn","valid","l","bottom","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.5160000000000764]",NA,NA,NA,NA,NA,"",0,82,82,86,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"363","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"3","",NA,"",NA,NA,NA,NA,NA,"Experiment","Tisch","Markt","learn","valid","a","bottom","top","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5239999999998872]",NA,NA,NA,NA,NA,"",0,83,83,13,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"364","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"Experiment","Markt","Tisch","learn","valid","a","bottom","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5489999999999782]",NA,NA,NA,NA,NA,"",0,84,84,23,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"365","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"3","",NA,"",NA,NA,NA,NA,NA,"Experiment","Kreis","Stein","learn","invalid","a","bottom","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5179999999995744]",NA,NA,NA,NA,NA,"",0,85,85,70,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"366","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"Experiment","Markt","Tisch","learn","invalid","l","bottom","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.5190000000002328]",NA,NA,NA,NA,NA,"",0,86,86,143,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"367","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"2","",NA,"",NA,NA,NA,NA,NA,"Experiment","Stein","Stein","test","valid","l","bottom","nil","salient",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.6010000000001128]",NA,NA,NA,NA,NA,"",0,87,87,172,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"368","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"Experiment","Markt","Markt","test","invalid","l","top","nil","nonsalient",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.58199999999988]",NA,NA,NA,NA,NA,"",0,88,88,195,1,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
