"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","PROLIFIC_PID","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","id","session","researcher","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt","preResp.rt"
"1","white","j",836.873,"space",53.157,"a",1,7.27,0,0,0,0,1,"Welche Taste musst Du drücken, wenn die Ziffer ungerade ist? Drücke diese Taste jetzt.","a",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"2","","",NA,"",NA,"a",1,3.865,0,1,1,3,1,"Welche Taste musst Du drücken, wenn Du eine 7 siehst? Drücke diese Taste jetzt.","a",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"3","","",NA,"",NA,"l",1,3.402,0,2,2,2,1,"Welche Taste musst Du drücken, wenn die Ziffer gerade ist? Drücke diese Taste jetzt.","l",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"4","","",NA,"",NA,"l",1,2.436,0,3,3,1,1,"Welche Taste musst Du drücken, wenn Du eine 4 siehst? Drücke diese Taste jetzt.","l",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"5","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"space",5.191,0,0,0,0,1,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"6","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"space",8.72,0.5,NA,0,"8","[""l""]",1,"[0.63799999999992]",0,0,0,8,1,"Practice","klar","klar","test","valid","l","top","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"7","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"3","[""a""]",1,"[0.7390000000000327]",0,1,1,10,1,"Practice","dick","dick","test","valid","a","top","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"8","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"8","[""l""]",1,"[0.6469999999999345]",0,2,2,4,1,"Practice","bunt","klar","learn","valid","l","bottom","top","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"9","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"3","[""a""]",1,"[0.4980000000000473]",0,3,3,11,1,"Practice","hoch","hoch","test","valid","a","bottom","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"10","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"7","[""l"",""l"",""a""]",0,"[0.5740000000000691,2.116999999999962,2.5650000000000546]",0,4,4,5,1,"Practice","dick","hoch","learn","valid","a","bottom","top","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"11","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"9","[""a""]",1,"[0.7010000000000218]",0,5,5,3,1,"Practice","hoch","dick","learn","valid","a","top","bottom","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"12","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"5","[""a""]",1,"[0.6990000000000691]",0,6,6,1,1,"Practice","dick","hoch","learn","valid","a","top","top","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"13","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"9","[""l"",""l"",""a""]",0,"[0.5039999999999054,0.9969999999998436,1.1369999999999436]",0,7,7,13,1,"Practice","bunt","bunt","test","invalid","a","bottom","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"14","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"7","[""a""]",1,"[0.45900000000006]",0,8,8,12,1,"Practice","klar","klar","test","invalid","a","top","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"15","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"2","[""l""]",1,"[0.8109999999999218]",0,9,9,6,1,"Practice","klar","bunt","learn","valid","l","bottom","bottom","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"16","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"4","[""l""]",1,"[0.4800000000000182]",0,10,10,15,1,"Practice","hoch","hoch","test","invalid","l","bottom","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"17","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"6","[""l""]",1,"[0.7160000000001219]",0,11,11,9,1,"Practice","bunt","bunt","test","valid","l","bottom","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"18","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"2","[""a"",""l""]",0,"[0.49900000000002365,1.0219999999999345]",0,12,12,2,1,"Practice","klar","bunt","learn","valid","l","top","bottom","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"19","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"8","[""l""]",1,"[0.5229999999999109]",0,13,13,0,1,"Practice","bunt","klar","learn","valid","l","top","top","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"20","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"6","[""l""]",1,"[0.49900000000002365]",0,14,14,14,1,"Practice","dick","dick","test","invalid","l","top","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"21","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"5","[""a""]",1,"[0.6510000000000673]",0,15,15,7,1,"Practice","hoch","dick","learn","valid","a","bottom","bottom","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"22","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"space",172.406,0,0,0,0,1,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"23","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"7","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Tisch","learn","valid","a","top","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6310000000000855]",0,0,0,3,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"24","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"4","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Stein","learn","valid","l","top","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.43600000000014916]",0,1,1,2,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"25","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Tisch","learn","valid","a","bottom","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6380000000001473]",0,2,2,7,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"26","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"6","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Kreis","learn","valid","l","bottom","top","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.6000000000001364]",0,3,3,4,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"27","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Stein","learn","valid","l","bottom","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.48200000000019827]",0,4,4,6,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"28","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"7","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Markt","learn","valid","a","bottom","top","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5160000000000764]",0,5,5,5,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"29","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Markt","learn","valid","a","top","top","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""l"",""a""]",0,"[0.49900000000002365,1.1009999999998854]",0,6,6,1,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"30","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"2","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Kreis","learn","valid","l","top","top","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""a"",""a"",""l""]",0,"[0.4639999999999418,0.8550000000000182,1.134999999999991]",0,7,7,0,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"31","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Tisch","learn","valid","a","top","bottom","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.47100000000000364]",1,0,8,3,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"32","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"7","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Markt","learn","valid","a","bottom","top","Tisch",2,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.5809999999999036]",1,1,9,5,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
"33","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",1,"5e9311d924e9a7183eb69271","31","male","right","German","2020-10-20_12h18.46.900","Exp2_OvershadowingCLSRB","2020.1.3","Win32",60,NA,NA,NA,"Firefox",2560,1440,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Stein","learn","valid","l","bottom","bottom","Stein",2,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.5529999999998836]",1,2,10,6,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0
